ballX,ballY,vx,vy,paddleY,deltaY,action
120,132,6,-6,85,-32,1
114,138,6,-6,90,-33,1
108,144,6,-6,95,-34,1
102,150,6,-6,100,-35,1
96,156,6,-6,105,-36,1
90,162,6,-6,110,-37,1
84,168,6,-6,115,-38,1
78,174,6,-6,120,-39,1
72,180,6,-6,125,-40,1
66,186,6,-6,130,-41,1
60,192,-6,-6,135,-42,1
54,186,-6,-6,140,-31,1
48,180,-6,-6,145,-20,1
42,174,-6,-6,150,-9,1
18,150,-6,-6,155,20,0
12,144,-6,-6,150,21,0
131.304199,54.840332,-5.144958,-3.086975,80,40.159668,1
128.217224,49.695374,-5.144958,-3.086975,85,50.304626,1
125.130249,44.550415,-5.144958,-3.086975,90,60.449585,1
122.043274,39.405457,-5.144958,-3.086975,95,70.594543,1
115.869324,29.11554,-5.144958,-3.086975,100,85.88446,0
112.782349,23.970581,-5.144958,-3.086975,95,86.029419,0
109.695374,18.825623,-5.144958,-3.086975,90,86.174377,0
106.608398,13.680664,-5.144958,-3.086975,85,86.319336,0
103.521423,8.535706,-5.144958,-3.086975,80,86.464294,0
100.434448,3.390748,-5.144958,-3.086975,75,86.609253,0
75.738647,36.014706,5.144958,-3.086975,70,48.985294,2
63.390747,56.59454,5.144958,-3.086975,70,28.40546,1
60.303772,61.739498,5.144958,-3.086975,75,28.260502,1
57.216797,66.884453,5.144958,-3.086975,80,28.115547,1
54.129822,72.029411,5.144958,-3.086975,85,27.970589,1
47.955872,82.319328,5.144958,-3.086975,90,22.680672,2
35.607971,102.899162,5.144958,-3.086975,90,2.100838,1
32.520996,108.044121,5.144958,-3.086975,95,1.955879,1
29.434021,113.189079,5.144958,-3.086975,100,1.810921,1
26.347046,118.334038,5.144958,-3.086975,105,1.665962,1
23.260071,123.478996,5.144958,-3.086975,110,1.521004,1
20.173096,128.623947,5.144958,-3.086975,115,1.376053,1
17.086121,133.768906,5.144958,-3.086975,120,1.231094,1
13.999146,138.913864,5.144958,-3.086975,125,1.086136,1
10.91217,144.058823,5.144958,-3.086975,130,0.941177,1
296.016357,31.990778,0.442924,-5.983629,115,98.009224,2
278.06543,33.31955,0.442924,-5.983629,115,96.68045,2
260.114502,34.648323,0.442924,-5.983629,115,95.351677,2
242.16362,35.977097,0.442924,-5.983629,115,94.022903,0
236.179993,36.420021,0.442924,-5.983629,110,88.579979,0
230.196365,36.862946,0.442924,-5.983629,105,83.137054,0
224.212738,37.30587,0.442924,-5.983629,100,77.69413,0
218.229111,37.748795,0.442924,-5.983629,95,72.251205,0
212.245483,38.191719,0.442924,-5.983629,90,66.808281,0
206.261856,38.634644,0.442924,-5.983629,85,61.365356,0
200.278229,39.077568,0.442924,-5.983629,80,55.922432,0
194.294601,39.520493,0.442924,-5.983629,75,50.479507,0
188.310974,39.963417,0.442924,-5.983629,70,45.036583,0
182.327347,40.406342,0.442924,-5.983629,65,39.593658,0
176.343719,40.849266,0.442924,-5.983629,60,34.150734,0
170.360092,41.292191,0.442924,-5.983629,55,28.707809,0
164.376465,41.735115,0.442924,-5.983629,50,23.264885,0
158.392838,42.17804,0.442924,-5.983629,45,17.82196,0
152.40921,42.620964,0.442924,-5.983629,40,12.379036,0
146.425583,43.063889,0.442924,-5.983629,35,6.936111,0
140.441956,43.506813,0.442924,-5.983629,30,1.493187,2
98.556564,46.607285,0.442924,-5.983629,30,-1.607285,1
92.572937,47.050209,0.442924,-5.983629,35,2.949791,1
86.58931,47.493134,0.442924,-5.983629,40,7.506866,1
80.605682,47.936058,0.442924,-5.983629,45,12.063942,1
74.622055,48.378983,0.442924,-5.983629,50,16.621017,1
44.703918,50.593605,0.442924,-5.983629,55,19.406395,0
38.720291,51.03653,0.442924,-5.983629,50,13.96347,0
32.736664,51.479454,0.442924,-5.983629,45,8.520546,0
26.753035,51.922379,0.442924,-5.983629,40,3.077621,0
236.618347,102.978668,0.819413,-5.943783,80,-7.978668,2
212.843201,106.256317,0.819413,-5.943783,80,-11.256317,1
206.899414,107.075729,0.819413,-5.943783,85,-7.075729,1
200.955627,107.895142,0.819413,-5.943783,90,-2.895142,1
195.011841,108.714554,0.819413,-5.943783,95,1.285446,1
189.068054,109.533966,0.819413,-5.943783,100,5.466034,1
183.124268,110.353378,0.819413,-5.943783,105,9.646622,1
177.180481,111.172791,0.819413,-5.943783,110,13.827209,1
171.236694,111.992203,0.819413,-5.943783,115,18.007797,1
165.292908,112.811615,0.819413,-5.943783,120,22.188385,1
159.349121,113.631027,0.819413,-5.943783,125,26.368973,1
70.192322,125.922211,0.819413,-5.943783,130,19.077789,2
52.36097,128.380447,0.819413,-5.943783,130,16.619553,2
28.585838,131.658096,0.819413,-5.943783,130,13.341904,2
10.75449,134.116333,0.819413,-5.943783,130,10.883667,0
284.605072,104.005074,1.54255,-5.798322,155,65.994926,2
249.815186,113.260368,1.54255,-5.798322,155,56.739632,0
244.016861,114.802917,1.54255,-5.798322,150,50.197083,0
238.218536,116.345467,1.54255,-5.798322,145,43.654533,0
232.420212,117.888016,1.54255,-5.798322,140,37.111984,0
186.033615,130.228424,1.54255,-5.798322,135,19.771576,2
122.252045,147.196548,1.54255,-5.798322,135,2.803452,2
116.45372,148.739105,1.54255,-5.798322,135,1.260895,2
87.462097,156.451889,1.54255,-5.798322,135,-6.451889,1
81.663773,157.994446,1.54255,-5.798322,140,-2.994446,1
75.865448,159.537003,1.54255,-5.798322,145,0.462997,1
70.067123,161.079559,1.54255,-5.798322,150,3.920441,1
64.268799,162.622116,1.54255,-5.798322,155,7.377884,1
247.732697,86.246658,4.309796,-4.174406,115,43.753342,2
197.639801,137.964249,4.309796,-4.174406,115,-7.964249,2
135.023682,183.380402,-4.309796,-4.174406,115,-53.380402,2
76.58197,123.043213,-4.309796,-4.174406,115,6.956787,2
72.407562,118.733414,-4.309796,-4.174406,115,11.266586,0
68.233154,114.423615,-4.309796,-4.174406,110,10.576385,0
64.058746,110.113815,-4.309796,-4.174406,105,9.886185,0
59.884342,105.804016,-4.309796,-4.174406,100,9.195984,0
55.709938,101.494217,-4.309796,-4.174406,95,8.505783,0
