ballX,ballY,vy,vx,paddleY,deltaY,action
132.0,120.0,4.0,-4.0,85.0,-20.0,1
128.0,124.0,4.0,-4.0,91.0,-18.0,1
124.0,128.0,4.0,-4.0,97.0,-16.0,1
120.0,132.0,4.0,-4.0,103.0,-14.0,1
116.0,136.0,4.0,-4.0,109.0,-12.0,1
112.0,140.0,4.0,-4.0,115.0,-10.0,1
108.0,144.0,4.0,-4.0,121.0,-8.0,1
104.0,148.0,4.0,-4.0,127.0,-6.0,1
100.0,152.0,4.0,-4.0,133.0,-4.0,1
96.0,156.0,4.0,-4.0,139.0,-2.0,1
92.0,160.0,4.0,-4.0,145.0,0.0,1
88.0,164.0,4.0,-4.0,151.0,2.0,1
84.0,168.0,4.0,-4.0,157.0,4.0,2
80.0,172.0,4.0,-4.0,157.0,0.0,2
68.0,184.0,4.0,-4.0,157.0,-12.0,2
52.0,184.0,-4.0,-4.0,157.0,-12.0,2
28.0,160.0,-4.0,-4.0,157.0,12.0,2
24.0,156.0,-4.0,-4.0,157.0,16.0,0
20.0,152.0,-4.0,-4.0,151.0,14.0,0
16.0,148.0,-4.0,-4.0,145.0,12.0,0
12.0,144.0,-4.0,-4.0,139.0,10.0,0
275.75235,7.55972,3.77986,-2.0,97.0,104.440277,2
273.75235,11.339581,3.77986,-2.0,97.0,100.660416,2
269.75235,18.8993,3.77986,-2.0,97.0,93.1007,2
267.75235,22.679159,3.77986,-2.0,97.0,89.320839,2
259.75235,37.798599,3.77986,-2.0,97.0,74.201401,2
253.75235,49.138184,3.77986,-2.0,97.0,62.861816,2
247.75235,60.477768,3.77986,-2.0,97.0,51.522232,2
221.75235,109.615967,3.77986,-2.0,121.0,26.384033,2
217.75235,117.17569,3.77986,-2.0,121.0,18.82431,2
203.75235,143.63472,3.77986,-2.0,121.0,-7.63472,0
201.75235,147.414581,3.77986,-2.0,115.0,-17.414581,0
199.75235,151.194443,3.77986,-2.0,109.0,-27.194443,0
179.75235,188.993057,3.77986,-2.0,97.0,-76.993057,2
177.75235,192.0,-3.77986,-2.0,97.0,-80.0,2
175.75235,188.220139,-3.77986,-2.0,97.0,-76.220139,2
169.75235,176.880554,-3.77986,-2.0,97.0,-64.880554,1
167.75235,173.100693,-3.77986,-2.0,103.0,-55.100693,1
165.75235,169.320831,-3.77986,-2.0,109.0,-45.320831,1
163.75235,165.54097,-3.77986,-2.0,115.0,-35.54097,1
161.75235,161.761108,-3.77986,-2.0,121.0,-25.761108,1
159.75235,157.981247,-3.77986,-2.0,127.0,-15.981247,1
137.75235,116.402771,-3.77986,-2.0,133.0,31.597229,0
135.75235,112.62291,-3.77986,-2.0,127.0,29.37709,0
133.75235,108.843048,-3.77986,-2.0,121.0,27.156952,0
131.75235,105.063187,-3.77986,-2.0,115.0,24.936813,0
129.75235,101.283325,-3.77986,-2.0,109.0,22.716675,0
127.75235,97.503464,-3.77986,-2.0,103.0,20.496536,0
125.75235,93.723602,-3.77986,-2.0,97.0,18.276398,0
123.75235,89.943741,-3.77986,-2.0,91.0,16.056259,0
121.75235,86.163879,-3.77986,-2.0,85.0,13.836121,0
119.75235,82.384018,-3.77986,-2.0,79.0,11.615982,0
117.75235,78.604156,-3.77986,-2.0,73.0,9.395844,0
115.75235,74.824295,-3.77986,-2.0,67.0,7.175705,0
113.75235,71.044434,-3.77986,-2.0,61.0,4.955566,0
111.75235,67.264572,-3.77986,-2.0,55.0,2.735428,0
109.75235,63.484711,-3.77986,-2.0,49.0,0.515289,0
107.75235,59.704849,-3.77986,-2.0,43.0,-1.704849,0
105.75235,55.924988,-3.77986,-2.0,37.0,-3.924988,0
103.75235,52.145126,-3.77986,-2.0,31.0,-6.145126,0
101.75235,48.365265,-3.77986,-2.0,25.0,-8.365265,0
99.75235,44.585403,-3.77986,-2.0,19.0,-10.585403,0
97.75235,40.805542,-3.77986,-2.0,13.0,-12.805542,0
93.75235,33.245819,-3.77986,-2.0,7.0,-11.245819,2
73.75235,3.77986,3.77986,-2.0,7.0,18.22014,2
59.75235,30.238878,3.77986,-2.0,7.0,-8.238878,2
57.75235,34.018738,3.77986,-2.0,7.0,-12.018738,1
55.75235,37.798599,3.77986,-2.0,13.0,-9.798599,1
