ballX,ballY,vy,vx,paddleY,deltaY,action
188.0,120.0,4.0,4.0,85.0,-20.0,1
192.0,124.0,4.0,4.0,91.0,-18.0,1
196.0,128.0,4.0,4.0,97.0,-16.0,1
200.0,132.0,4.0,4.0,103.0,-14.0,1
204.0,136.0,4.0,4.0,109.0,-12.0,1
208.0,140.0,4.0,4.0,115.0,-10.0,1
212.0,144.0,4.0,4.0,121.0,-8.0,1
216.0,148.0,4.0,4.0,127.0,-6.0,1
220.0,152.0,4.0,4.0,133.0,-4.0,1
224.0,156.0,4.0,4.0,139.0,-2.0,1
228.0,160.0,4.0,4.0,145.0,0.0,1
232.0,164.0,4.0,4.0,151.0,2.0,1
236.0,168.0,4.0,4.0,157.0,4.0,2
240.0,172.0,4.0,4.0,157.0,0.0,2
252.0,184.0,4.0,4.0,157.0,-12.0,2
268.0,184.0,-4.0,4.0,157.0,-12.0,2
292.0,160.0,-4.0,4.0,157.0,12.0,2
296.0,156.0,-4.0,4.0,157.0,16.0,0
300.0,152.0,-4.0,4.0,151.0,14.0,0
304.0,148.0,-4.0,4.0,145.0,12.0,0
308.0,144.0,-4.0,4.0,139.0,10.0,0
44.24765000000002,7.55972,3.77986,2.0,97.0,104.440277,2
46.24765000000002,11.339581,3.77986,2.0,97.0,100.660416,2
50.24765000000002,18.8993,3.77986,2.0,97.0,93.1007,2
52.24765000000002,22.679159,3.77986,2.0,97.0,89.320839,2
60.24765000000002,37.798599,3.77986,2.0,97.0,74.201401,2
66.24765,49.138184,3.77986,2.0,97.0,62.861816,2
72.24765,60.477768,3.77986,2.0,97.0,51.522232,2
98.24765,109.615967,3.77986,2.0,121.0,26.384033,2
102.24765,117.17569,3.77986,2.0,121.0,18.82431,2
116.24765,143.63472,3.77986,2.0,121.0,-7.63472,0
118.24765,147.414581,3.77986,2.0,115.0,-17.414581,0
120.24765,151.194443,3.77986,2.0,109.0,-27.194443,0
140.24765,188.993057,3.77986,2.0,97.0,-76.993057,2
142.24765,192.0,-3.77986,2.0,97.0,-80.0,2
144.24765,188.220139,-3.77986,2.0,97.0,-76.220139,2
150.24765,176.880554,-3.77986,2.0,97.0,-64.880554,1
152.24765,173.100693,-3.77986,2.0,103.0,-55.100693,1
154.24765,169.320831,-3.77986,2.0,109.0,-45.320831,1
156.24765,165.54097,-3.77986,2.0,115.0,-35.54097,1
158.24765,161.761108,-3.77986,2.0,121.0,-25.761108,1
160.24765,157.981247,-3.77986,2.0,127.0,-15.981247,1
182.24765,116.402771,-3.77986,2.0,133.0,31.597229,0
184.24765,112.62291,-3.77986,2.0,127.0,29.37709,0
186.24765,108.843048,-3.77986,2.0,121.0,27.156952,0
188.24765,105.063187,-3.77986,2.0,115.0,24.936813,0
190.24765,101.283325,-3.77986,2.0,109.0,22.716675,0
192.24765,97.503464,-3.77986,2.0,103.0,20.496536,0
194.24765,93.723602,-3.77986,2.0,97.0,18.276398,0
196.24765,89.943741,-3.77986,2.0,91.0,16.056259,0
198.24765,86.163879,-3.77986,2.0,85.0,13.836121,0
200.24765,82.384018,-3.77986,2.0,79.0,11.615982,0
202.24765,78.604156,-3.77986,2.0,73.0,9.395844,0
204.24765,74.824295,-3.77986,2.0,67.0,7.175705,0
206.24765,71.044434,-3.77986,2.0,61.0,4.955566,0
208.24765,67.264572,-3.77986,2.0,55.0,2.735428,0
210.24765,63.484711,-3.77986,2.0,49.0,0.515289,0
212.24765,59.704849,-3.77986,2.0,43.0,-1.704849,0
214.24765,55.924988,-3.77986,2.0,37.0,-3.924988,0
216.24765,52.145126,-3.77986,2.0,31.0,-6.145126,0
218.24765,48.365265,-3.77986,2.0,25.0,-8.365265,0
220.24765,44.585403,-3.77986,2.0,19.0,-10.585403,0
222.24765,40.805542,-3.77986,2.0,13.0,-12.805542,0
226.24765,33.245819,-3.77986,2.0,7.0,-11.245819,2
246.24765,3.77986,3.77986,2.0,7.0,18.22014,2
260.24765,30.238878,3.77986,2.0,7.0,-8.238878,2
262.24765,34.018738,3.77986,2.0,7.0,-12.018738,1
264.24765,37.798599,3.77986,2.0,13.0,-9.798599,1
266.24765,41.578461,3.77986,2.0,19.0,-7.578461,1
268.24765,45.358322,3.77986,2.0,25.0,-5.358322,1
270.24765,49.138184,3.77986,2.0,31.0,-3.138184,1
272.24765,52.918045,3.77986,2.0,37.0,-0.918045,1
274.24765,56.697906,3.77986,2.0,43.0,1.302094,1
276.24765,60.477768,3.77986,2.0,49.0,3.522232,1
278.24765,64.257629,3.77986,2.0,55.0,5.742371,1
280.24765,68.037491,3.77986,2.0,61.0,7.962509,1
282.24765,71.817352,3.77986,2.0,67.0,10.182648,1
284.24765,75.597214,3.77986,2.0,73.0,12.402786,1
286.24765,79.377075,3.77986,2.0,79.0,14.622925,1
288.24765,83.156937,3.77986,2.0,85.0,16.843063,1
290.24765,86.936798,3.77986,2.0,91.0,19.063202,1
292.24765,90.71666,3.77986,2.0,97.0,21.28334,1
294.24765,94.496521,3.77986,2.0,103.0,23.503479,2
300.24765,105.836105,3.77986,2.0,103.0,12.163895,2
302.24765,109.615967,3.77986,2.0,103.0,8.384033,0
304.24765,113.395828,3.77986,2.0,97.0,-1.395828,0
306.24765,117.17569,3.77986,2.0,91.0,-11.17569,0
308.24765,120.955551,3.77986,2.0,85.0,-20.955551,2
310.24765,124.735413,3.77986,2.0,85.0,-24.735413,2
314.24765,132.295135,3.77986,2.0,85.0,-32.295135,2
316.24765,136.074997,3.77986,2.0,85.0,-36.074997,1
318.24765,139.854858,3.77986,2.0,91.0,-33.854858,1
166.0,99.779861,3.77986,2.0,67.0,-17.779861,2
184.0,133.798615,3.77986,2.0,67.0,-51.798615,2
188.0,141.358337,3.77986,2.0,67.0,-59.358337,2
192.0,148.91806,3.77986,2.0,67.0,-66.91806,2
194.0,152.697922,3.77986,2.0,67.0,-70.697922,1
196.0,156.477783,3.77986,2.0,73.0,-68.477783,1
198.0,160.257645,3.77986,2.0,79.0,-66.257645,1
200.0,164.037506,3.77986,2.0,85.0,-64.037506,1
202.0,167.817368,3.77986,2.0,91.0,-61.817368,1
204.0,171.597229,3.77986,2.0,97.0,-59.597229,1
212.0,186.716675,3.77986,2.0,103.0,-68.716675,2
220.0,184.440277,-3.77986,2.0,103.0,-66.440277,2
242.0,142.861801,-3.77986,2.0,103.0,-24.861801,2
244.0,139.08194,-3.77986,2.0,103.0,-21.08194,2
254.0,120.182632,-3.77986,2.0,103.0,-2.182632,2
258.0,112.62291,-3.77986,2.0,103.0,5.37709,2
264.0,101.283325,-3.77986,2.0,103.0,16.716675,2
266.0,97.503464,-3.77986,2.0,103.0,20.496536,0
268.0,93.723602,-3.77986,2.0,97.0,18.276398,0
270.0,89.943741,-3.77986,2.0,91.0,16.056259,0
272.0,86.163879,-3.77986,2.0,85.0,13.836121,0
274.0,82.384018,-3.77986,2.0,79.0,11.615982,0
276.0,78.604156,-3.77986,2.0,73.0,9.395844,0
278.0,74.824295,-3.77986,2.0,67.0,7.175705,0
280.0,71.044434,-3.77986,2.0,61.0,4.955566,0
282.0,67.264572,-3.77986,2.0,55.0,2.735428,0
284.0,63.484711,-3.77986,2.0,49.0,0.515289,0
286.0,59.704849,-3.77986,2.0,43.0,-1.704849,0
288.0,55.924988,-3.77986,2.0,37.0,-3.924988,0
290.0,52.145126,-3.77986,2.0,31.0,-6.145126,0
292.0,48.365265,-3.77986,2.0,25.0,-8.365265,0
294.0,44.585403,-3.77986,2.0,19.0,-10.585403,0
304.0,25.6861,-3.77986,2.0,13.0,2.3139,2
166.0,99.551849,3.551846,2.0,85.0,0.448151,2
178.0,120.862946,3.551846,2.0,85.0,-20.862946,2
184.0,131.518494,3.551846,2.0,85.0,-31.518494,2
204.0,167.036987,3.551846,2.0,55.0,-97.036987,1
206.0,170.588837,3.551846,2.0,61.0,-94.588837,1
208.0,174.140686,3.551846,2.0,67.0,-92.140686,1
210.0,177.692535,3.551846,2.0,73.0,-89.692535,1
212.0,181.244385,3.551846,2.0,79.0,-87.244385,1
214.0,184.796234,3.551846,2.0,85.0,-84.796234,1
216.0,188.348083,3.551846,2.0,91.0,-82.348083,1
218.0,191.899933,3.551846,2.0,97.0,-79.899933,1
222.0,188.448151,-3.551846,2.0,103.0,-70.448151,2
232.0,170.688904,-3.551846,2.0,103.0,-52.688904,2
254.0,131.618561,-3.551846,2.0,103.0,-13.618561,2
256.0,128.066711,-3.551846,2.0,103.0,-10.066711,2
260.0,120.963013,-3.551846,2.0,103.0,-2.963013,2
264.0,113.859314,-3.551846,2.0,103.0,4.140686,0
266.0,110.307465,-3.551846,2.0,97.0,1.692535,0
268.0,106.755615,-3.551846,2.0,91.0,-0.755615,0
270.0,103.203766,-3.551846,2.0,85.0,-3.203766,0
272.0,99.651917,-3.551846,2.0,79.0,-5.651917,0
274.0,96.100067,-3.551846,2.0,73.0,-8.100067,0
276.0,92.548218,-3.551846,2.0,67.0,-10.548218,0
278.0,88.996368,-3.551846,2.0,61.0,-12.996368,0
280.0,85.444519,-3.551846,2.0,55.0,-15.444519,0
282.0,81.89267,-3.551846,2.0,49.0,-17.89267,0
284.0,78.34082,-3.551846,2.0,43.0,-20.34082,0
286.0,74.788971,-3.551846,2.0,37.0,-22.788971,0
288.0,71.237122,-3.551846,2.0,31.0,-25.237122,2
292.0,64.133423,-3.551846,2.0,31.0,-18.133423,2
294.0,60.581577,-3.551846,2.0,31.0,-14.581577,2
296.0,57.029732,-3.551846,2.0,31.0,-11.029732,2
298.0,53.477886,-3.551846,2.0,31.0,-7.477886,2
300.0,49.926041,-3.551846,2.0,31.0,-3.926041,2
302.0,46.374195,-3.551846,2.0,31.0,-0.374195,0
304.0,42.82235,-3.551846,2.0,25.0,-2.82235,0
308.0,35.718658,-3.551846,2.0,19.0,-1.718658,2
42.89746100000002,179.511063,2.512826,3.112187,85.0,-79.511063,2
46.00964399999998,182.023895,2.512826,3.112187,85.0,-82.023895,1
49.121826,184.536728,2.512826,3.112187,91.0,-78.536728,1
52.234009000000015,187.049561,2.512826,3.112187,97.0,-75.049561,1
55.346190999999976,189.562393,2.512826,3.112187,103.0,-71.562393,1
64.682739,186.974335,-2.512826,3.112187,109.0,-62.974335,2
105.14111299999999,154.30751,-2.512826,3.112187,109.0,-30.30751,2
117.589844,144.25618,-2.512826,3.112187,109.0,-20.25618,2
136.262939,129.179184,-2.512826,3.112187,109.0,-5.179184,2
142.487305,124.153534,-2.512826,3.112187,109.0,-0.153534,0
145.599487,121.640709,-2.512826,3.112187,103.0,-3.640709,0
148.71167,119.127884,-2.512826,3.112187,97.0,-7.127884,0
151.823853,116.615059,-2.512826,3.112187,91.0,-10.615059,0
154.936035,114.102234,-2.512826,3.112187,85.0,-14.102234,0
158.048218,111.589409,-2.512826,3.112187,79.0,-17.589409,0
161.1604,109.076584,-2.512826,3.112187,73.0,-21.076584,0
164.272583,106.563759,-2.512826,3.112187,67.0,-24.563759,0
167.384766,104.050934,-2.512826,3.112187,61.0,-28.050934,0
189.170044,86.461159,-2.512826,3.112187,25.0,-46.461159,2
