ballX,ballY,vy,vx,paddleY,deltaY,action
160.425095,187.76265,2.762566,2.892789,169.0,-3.76265,1
163.317886,190.525223,2.762566,2.892789,170.0,-5.525223,1
166.210678,192.0,-2.762566,2.892789,170.0,-7.0,1
169.10347,189.237427,-2.762566,2.892789,170.0,-4.237427,1
171.996262,186.474854,-2.762566,2.892789,170.0,-1.474854,2
174.889053,183.71228,-2.762566,2.892789,170.0,1.28772,2
177.781845,180.949707,-2.762566,2.892789,170.0,4.050293,0
180.674637,178.187134,-2.762566,2.892789,167.0,3.812866,0
183.567429,175.424561,-2.762566,2.892789,164.0,3.575439,0
186.46022,172.661987,-2.762566,2.892789,161.0,3.338013,0
189.353012,169.899414,-2.762566,2.892789,158.0,3.100586,0
192.245804,167.136841,-2.762566,2.892789,155.0,2.863159,2
195.138596,164.374268,-2.762566,2.892789,155.0,5.625732,0
198.031387,161.611694,-2.762566,2.892789,152.0,5.388306,0
200.924179,158.849121,-2.762566,2.892789,149.0,5.150879,0
203.816971,156.086548,-2.762566,2.892789,146.0,4.913452,0
206.709763,153.323975,-2.762566,2.892789,143.0,4.676025,0
209.602554,150.561401,-2.762566,2.892789,140.0,4.438599,0
212.495346,147.798828,-2.762566,2.892789,137.0,4.201172,0
215.388138,145.036255,-2.762566,2.892789,134.0,3.963745,0
218.28093,142.273682,-2.762566,2.892789,131.0,3.726318,0
221.173721,139.511108,-2.762566,2.892789,128.0,3.488892,0
224.066513,136.748535,-2.762566,2.892789,125.0,3.251465,0
226.959305,133.985962,-2.762566,2.892789,122.0,3.014038,0
229.852097,131.223389,-2.762566,2.892789,119.0,2.776611,2
232.744888,128.460815,-2.762566,2.892789,119.0,5.539185,0
235.63768,125.69825,-2.762566,2.892789,116.0,5.30175,0
238.530472,122.935684,-2.762566,2.892789,113.0,5.064316,0
241.423264,120.173119,-2.762566,2.892789,110.0,4.826881,0
244.316055,117.410553,-2.762566,2.892789,107.0,4.589447,0
247.208847,114.647987,-2.762566,2.892789,104.0,4.352013,0
250.101639,111.885422,-2.762566,2.892789,101.0,4.114578,0
252.994431,109.122856,-2.762566,2.892789,98.0,3.877144,0
255.887222,106.360291,-2.762566,2.892789,95.0,3.639709,0
258.779999,103.597725,-2.762566,2.892789,92.0,3.402275,0
261.672791,100.835159,-2.762566,2.892789,89.0,3.164841,0
264.565582,98.072594,-2.762566,2.892789,86.0,2.927406,2
267.458374,95.310028,-2.762566,2.892789,86.0,5.689972,0
270.351166,92.547462,-2.762566,2.892789,83.0,5.452538,0
273.243958,89.784897,-2.762566,2.892789,80.0,5.215103,0
276.136749,87.022331,-2.762566,2.892789,77.0,4.977669,0
279.029541,84.259766,-2.762566,2.892789,74.0,4.740234,0
281.922333,81.4972,-2.762566,2.892789,71.0,4.5028,0
284.815125,78.734634,-2.762566,2.892789,68.0,4.265366,0
287.707916,75.972069,-2.762566,2.892789,65.0,4.027931,0
290.600708,73.209503,-2.762566,2.892789,62.0,3.790497,0
293.4935,70.446938,-2.762566,2.892789,59.0,3.553062,0
296.386292,67.684372,-2.762566,2.892789,56.0,3.315628,0
299.279083,64.921806,-2.762566,2.892789,53.0,3.078194,0
2.505692,61.167542,-2.973464,2.67554,50.0,3.832458,0
165.181229,58.194077,-2.973464,2.67554,47.0,3.805923,0
167.856766,55.220612,-2.973464,2.67554,44.0,3.779388,0
170.532303,52.247147,-2.973464,2.67554,41.0,3.752853,0
173.20784,49.273682,-2.973464,2.67554,38.0,3.726318,0
175.883377,46.300217,-2.973464,2.67554,35.0,3.699783,0
178.558914,43.326752,-2.973464,2.67554,32.0,3.673248,0
181.234451,40.353287,-2.973464,2.67554,29.0,3.646713,0
183.909988,37.379822,-2.973464,2.67554,26.0,3.620178,0
186.585526,34.406357,-2.973464,2.67554,23.0,3.593643,0
189.261063,31.432892,-2.973464,2.67554,20.0,3.567108,0
191.9366,28.459427,-2.973464,2.67554,17.0,3.540573,0
194.612137,25.485962,-2.973464,2.67554,14.0,3.514038,0
197.287674,22.512497,-2.973464,2.67554,11.0,3.487503,0
199.963211,19.539032,-2.973464,2.67554,8.0,3.460968,0
202.638748,16.565567,-2.973464,2.67554,5.0,3.434433,0
