ballX,ballY,vy,vx,paddleY,distance,deltaY,action
156.0,96.0,4.0,-4.0,85.0,146.413803,4.0,2
148.0,104.0,4.0,-4.0,85.0,139.301834,-4.0,2
136.0,116.0,4.0,-4.0,85.0,129.757462,-16.0,2
132.0,120.0,4.0,-4.0,85.0,126.921234,-20.0,2
116.0,136.0,4.0,-4.0,85.0,117.630775,-36.0,2
100.0,152.0,4.0,-4.0,85.0,112.200714,-52.0,1
96.0,156.0,4.0,-4.0,89.0,109.018349,-52.0,1
92.0,160.0,4.0,-4.0,93.0,105.891457,-52.0,1
88.0,164.0,4.0,-4.0,97.0,102.825096,-52.0,1
84.0,168.0,4.0,-4.0,101.0,99.824844,-52.0,1
80.0,172.0,4.0,-4.0,105.0,96.896851,-52.0,1
76.0,176.0,4.0,-4.0,109.0,94.047859,-52.0,1
72.0,180.0,4.0,-4.0,113.0,91.285271,-52.0,1
68.0,184.0,4.0,-4.0,117.0,88.617157,-52.0,1
64.0,188.0,4.0,-4.0,121.0,86.052307,-52.0,1
60.0,192.0,-4.0,-4.0,125.0,83.600243,-52.0,1
44.0,176.0,-4.0,-4.0,129.0,58.008621,-32.0,2
32.0,164.0,-4.0,-4.0,129.0,41.340054,-20.0,2
12.0,144.0,-4.0,-4.0,129.0,15.132746,0.0,2
297.562378,133.343597,-3.328201,-2.218801,129.0,287.595184,10.656403,2
286.468323,116.702591,-3.328201,-2.218801,129.0,276.741699,27.297409,2
270.936646,93.405182,-3.328201,-2.218801,129.0,263.353241,50.594818,2
268.717834,90.076981,-3.328201,-2.218801,129.0,261.629364,53.923019,2
250.967392,63.45137,-3.328201,-2.218801,129.0,249.723663,80.54863,2
246.5298,56.794968,-3.328201,-2.218801,129.0,247.305298,87.205032,2
219.904251,16.856552,-3.328201,-2.218801,129.0,237.983093,127.143448,2
215.46666,10.20015,-3.328201,-2.218801,129.0,237.339325,133.79985,2
211.029068,3.543747,-3.328201,-2.218801,129.0,236.964035,140.456253,2
199.935089,9.984604,3.328201,-2.218801,129.0,224.142822,134.015396,2
197.716293,13.312805,3.328201,-2.218801,129.0,220.501556,130.687195,2
191.059906,23.297409,3.328201,-2.218801,129.0,209.656204,120.702591,2
182.184723,36.610214,3.328201,-2.218801,129.0,195.405853,107.389786,2
168.871948,56.579422,3.328201,-2.218801,129.0,174.599655,87.420578,2
166.653152,59.907623,3.328201,-2.218801,129.0,171.213226,84.092377,2
162.215561,66.564026,3.328201,-2.218801,129.0,164.523026,77.435974,2
155.559174,76.54863,3.328201,-2.218801,129.0,154.7211,67.45137,2
153.340378,79.876831,3.328201,-2.218801,129.0,151.524094,64.123169,2
133.371216,109.830643,3.328201,-2.218801,129.0,124.851593,34.169357,2
128.933624,116.487045,3.328201,-2.218801,129.0,119.590057,27.512955,2
88.995163,176.394669,3.328201,-2.218801,129.0,92.122147,-32.394669,1
86.77636,179.72287,3.328201,-2.218801,133.0,89.875671,-31.72287,1
84.557556,183.051071,3.328201,-2.218801,137.0,87.632927,-31.051071,1
69.025932,178.687195,-3.328201,-2.218801,141.0,70.031319,-22.687195,2
62.369526,168.702591,-3.328201,-2.218801,141.0,59.245258,-12.702591,0
60.150726,165.37439,-3.328201,-2.218801,137.0,57.621189,-13.37439,0
57.931927,162.046188,-3.328201,-2.218801,133.0,56.045967,-14.046188,0
51.275528,152.061584,-3.328201,-2.218801,129.0,47.281136,-8.061584,2
49.056728,148.733383,-3.328201,-2.218801,129.0,43.758823,-4.733383,0
44.619129,142.076981,-3.328201,-2.218801,125.0,38.60191,-2.076981,2
37.96273,132.092377,-3.328201,-2.218801,125.0,28.848156,7.907623,0
35.743931,128.764175,-3.328201,-2.218801,121.0,26.889261,7.235825,0
33.525131,125.435974,-3.328201,-2.218801,117.0,24.991949,6.564026,0
31.30633,122.107773,-3.328201,-2.218801,113.0,23.171345,5.892227,0
29.087528,118.779572,-3.328201,-2.218801,109.0,21.446999,5.220428,0
26.868727,115.45137,-3.328201,-2.218801,105.0,19.844019,4.54863,0
24.649925,112.123169,-3.328201,-2.218801,101.0,18.394161,3.876831,0
22.431124,108.794968,-3.328201,-2.218801,97.0,17.136339,3.205032,0
20.212322,105.466766,-3.328201,-2.218801,93.0,16.115576,2.533234,0
17.993521,102.138565,-3.328201,-2.218801,89.0,15.37915,1.861435,0
15.77472,98.810364,-3.328201,-2.218801,85.0,14.969087,1.189636,0
13.55592,95.482162,-3.328201,-2.218801,81.0,14.912331,0.517838,0
11.337119,92.153961,-3.328201,-2.218801,77.0,15.212837,-0.153961,0
143.928772,85.498322,-2.625421,-3.017808,69.0,134.941147,-1.498322,2
140.910965,82.872902,-2.625421,-3.017808,69.0,131.643982,1.127098,2
134.875351,77.622063,-2.625421,-3.017808,69.0,125.172653,6.377937,2
107.715088,53.993286,-2.625421,-3.017808,69.0,98.86071,30.006714,2
104.697281,51.367867,-2.625421,-3.017808,69.0,96.324799,32.632133,0
101.679474,48.742447,-2.625421,-3.017808,65.0,93.109795,31.257553,0
98.661667,46.117027,-2.625421,-3.017808,61.0,89.902138,29.882973,0
95.64386,43.491608,-2.625421,-3.017808,57.0,86.702637,28.508392,0
92.626053,40.866188,-2.625421,-3.017808,53.0,83.512238,27.133812,0
89.608246,38.240768,-2.625421,-3.017808,49.0,80.332024,25.759232,0
86.590439,35.615349,-2.625421,-3.017808,45.0,77.163246,24.384651,0
83.572632,32.989929,-2.625421,-3.017808,41.0,74.007385,23.010071,0
80.554825,30.364508,-2.625421,-3.017808,37.0,70.866165,21.635492,0
77.537018,27.739086,-2.625421,-3.017808,33.0,67.741608,20.260914,0
74.519211,25.113665,-2.625421,-3.017808,29.0,64.636154,18.886335,0
71.501404,22.488243,-2.625421,-3.017808,25.0,61.552673,17.511757,2
