ballX,ballY,vy,vx,paddleY,deltaY,action
132.000000,120.000000,4.000000,-4.000000,85.000000, -20.000000, 1
128.000000,124.000000,4.000000,-4.000000,91.000000, -18.000000, 1
124.000000,128.000000,4.000000,-4.000000,97.000000, -16.000000, 1
120.000000,132.000000,4.000000,-4.000000,103.000000, -14.000000, 1
116.000000,136.000000,4.000000,-4.000000,109.000000, -12.000000, 1
112.000000,140.000000,4.000000,-4.000000,115.000000, -10.000000, 1
108.000000,144.000000,4.000000,-4.000000,121.000000, -8.000000, 1
104.000000,148.000000,4.000000,-4.000000,127.000000, -6.000000, 1
100.000000,152.000000,4.000000,-4.000000,133.000000, -4.000000, 1
96.000000,156.000000,4.000000,-4.000000,139.000000, -2.000000, 1
92.000000,160.000000,4.000000,-4.000000,145.000000, 0.000000, 1
88.000000,164.000000,4.000000,-4.000000,151.000000, 2.000000, 1
84.000000,168.000000,4.000000,-4.000000,157.000000, 4.000000, 2
80.000000,172.000000,4.000000,-4.000000,157.000000, 0.000000, 2
68.000000,184.000000,4.000000,-4.000000,157.000000, -12.000000, 2
52.000000,184.000000,-4.000000,-4.000000,157.000000, -12.000000, 2
28.000000,160.000000,-4.000000,-4.000000,157.000000, 12.000000, 2
24.000000,156.000000,-4.000000,-4.000000,157.000000, 16.000000, 0
20.000000,152.000000,-4.000000,-4.000000,151.000000, 14.000000, 0
16.000000,148.000000,-4.000000,-4.000000,145.000000, 12.000000, 0
12.000000,144.000000,-4.000000,-4.000000,139.000000, 10.000000, 0
302.000000,22.640444,0.695946,-3.938992,61.000000, 53.359558, 2
298.061005,23.336390,0.695946,-3.938992,61.000000, 52.663612, 1
294.122009,24.032335,0.695946,-3.938992,67.000000, 57.967667, 1
290.183014,24.728281,0.695946,-3.938992,73.000000, 63.271721, 1
286.244019,25.424227,0.695946,-3.938992,79.000000, 68.575775, 1
282.305023,26.120173,0.695946,-3.938992,85.000000, 73.879829, 2
270.488037,28.208010,0.695946,-3.938992,85.000000, 71.791992, 2
242.915070,33.079632,0.695946,-3.938992,85.000000, 66.920364, 2
223.220093,36.559361,0.695946,-3.938992,85.000000, 63.440639, 2
203.525116,40.039089,0.695946,-3.938992,85.000000, 59.960911, 2
199.586121,40.735035,0.695946,-3.938992,85.000000, 59.264965, 0
195.647125,41.430981,0.695946,-3.938992,79.000000, 52.569019, 0
191.708130,42.126926,0.695946,-3.938992,73.000000, 45.873074, 0
160.196167,47.694492,0.695946,-3.938992,67.000000, 34.305508, 2
156.257172,48.390438,0.695946,-3.938992,67.000000, 33.609562, 2
124.745209,53.958004,0.695946,-3.938992,67.000000, 28.041996, 2
116.867218,55.349895,0.695946,-3.938992,67.000000, 26.650105, 0
112.928223,56.045841,0.695946,-3.938992,61.000000, 19.954159, 0
108.989227,56.741787,0.695946,-3.938992,55.000000, 13.258213, 0
93.233246,59.525570,0.695946,-3.938992,49.000000, 4.474430, 2
69.599274,63.701244,0.695946,-3.938992,49.000000, 0.298756, 2
65.660278,64.397194,0.695946,-3.938992,49.000000, -0.397194, 2
61.721287,65.093140,0.695946,-3.938992,49.000000, -1.093140, 2
42.026329,68.572868,0.695946,-3.938992,49.000000, -4.572868, 2
18.392380,72.748543,0.695946,-3.938992,49.000000, -8.748543, 1
14.453388,73.444489,0.695946,-3.938992,55.000000, -3.444489, 1
10.514397,74.140434,0.695946,-3.938992,61.000000, 1.859566, 1
294.724060,21.677729,1.662905,-3.637959,79.000000, 72.322273, 2
287.448120,25.003538,1.662905,-3.637959,79.000000, 68.996460, 1
283.810150,26.666443,1.662905,-3.637959,85.000000, 73.333557, 1
280.172180,28.329348,1.662905,-3.637959,91.000000, 77.670654, 1
276.534210,29.992252,1.662905,-3.637959,97.000000, 82.007751, 1
272.896240,31.655157,1.662905,-3.637959,103.000000, 86.344841, 1
