ballX,ballY,vy,vx,paddleY,distance,deltaY,action
164.0,96.0,4.0,4.0,85.0,146.4137971640651,4.0,2
172.0,104.0,4.0,4.0,85.0,139.30183056945089,-4.0,2
184.0,116.0,4.0,4.0,85.0,129.75746606650424,-16.0,2
188.0,120.0,4.0,4.0,85.0,126.92123541787639,-20.0,2
204.0,136.0,4.0,4.0,85.0,117.63077828527702,-36.0,2
220.0,152.0,4.0,4.0,85.0,112.2007130102122,-52.0,1
224.0,156.0,4.0,4.0,89.0,109.01834707974616,-52.0,1
228.0,160.0,4.0,4.0,93.0,105.89145385724005,-52.0,1
232.0,164.0,4.0,4.0,97.0,102.82509421342633,-52.0,1
236.0,168.0,4.0,4.0,101.0,99.82484660644363,-52.0,1
240.0,172.0,4.0,4.0,105.0,96.89685237405806,-52.0,1
244.0,176.0,4.0,4.0,109.0,94.04786015641186,-52.0,1
248.0,180.0,4.0,4.0,113.0,91.28526715741155,-52.0,1
252.0,184.0,4.0,4.0,117.0,88.61715409558128,-52.0,1
256.0,188.0,4.0,4.0,121.0,86.05230967266364,-52.0,1
260.0,192.0,-4.0,4.0,125.0,83.60023923410746,-52.0,1
276.0,176.0,-4.0,4.0,129.0,58.008620049092706,-32.0,2
288.0,164.0,-4.0,4.0,129.0,41.340053217188775,-20.0,2
308.0,144.0,-4.0,4.0,129.0,15.132745950421556,0.0,2
22.437621999999976,133.343597,-3.328201,2.218801,129.0,287.5951808982781,10.656403,2
33.531677,116.702591,-3.328201,2.218801,129.0,276.74168441083395,27.297409,2
49.063354000000004,93.405182,-3.328201,2.218801,129.0,263.35323103045926,50.594818,2
51.28216600000002,90.076981,-3.328201,2.218801,129.0,261.6293543120227,53.923019,2
69.03260800000001,63.45137,-3.328201,2.218801,129.0,249.7236610779174,80.54863,2
73.4702,56.794968,-3.328201,2.218801,129.0,247.30530308539892,87.205032,2
100.09574900000001,16.856552,-3.328201,2.218801,129.0,237.983082418057,127.143448,2
104.53334000000001,10.20015,-3.328201,2.218801,129.0,237.33931981780452,133.79985,2
108.970932,3.543747,-3.328201,2.218801,129.0,236.96404283719636,140.456253,2
120.064911,9.984604,3.328201,2.218801,129.0,224.14281723596397,134.015396,2
122.28370699999999,13.312805,3.328201,2.218801,129.0,220.50155043588668,130.687195,2
128.940094,23.297409,3.328201,2.218801,129.0,209.65621217803712,120.702591,2
137.815277,36.610214,3.328201,2.218801,129.0,195.40586324804207,107.389786,2
151.128052,56.579422,3.328201,2.218801,129.0,174.59964484261928,87.420578,2
153.346848,59.907623,3.328201,2.218801,129.0,171.2132196737309,84.092377,2
157.784439,66.564026,3.328201,2.218801,129.0,164.52303139643823,77.435974,2
164.440826,76.54863,3.328201,2.218801,129.0,154.72110182660663,67.45137,2
166.659622,79.876831,3.328201,2.218801,129.0,151.52408949663894,64.123169,2
186.628784,109.830643,3.328201,2.218801,129.0,124.85159664622678,34.169357,2
191.066376,116.487045,3.328201,2.218801,129.0,119.59005376955645,27.512955,2
231.004837,176.394669,3.328201,2.218801,129.0,92.12214949194427,-32.394669,1
233.22364,179.72287,3.328201,2.218801,133.0,89.87566987726157,-31.72287,1
235.442444,183.051071,3.328201,2.218801,137.0,87.6329292956716,-31.051071,1
250.974068,178.687195,-3.328201,2.218801,141.0,70.03131667644591,-22.687195,2
257.630474,168.702591,-3.328201,2.218801,141.0,59.245259739307066,-12.702591,0
259.849274,165.37439,-3.328201,2.218801,137.0,57.62118817066495,-13.37439,0
262.068073,162.046188,-3.328201,2.218801,133.0,56.04596919729973,-14.046188,0
268.724472,152.061584,-3.328201,2.218801,129.0,47.28113649509539,-8.061584,2
270.943272,148.733383,-3.328201,2.218801,129.0,43.75882090151281,-4.733383,0
275.380871,142.076981,-3.328201,2.218801,125.0,38.601908926800505,-2.076981,2
282.03727,132.092377,-3.328201,2.218801,125.0,28.84815558338228,7.907623,0
284.256069,128.764175,-3.328201,2.218801,121.0,26.889261737046347,7.235825,0
286.474869,125.435974,-3.328201,2.218801,117.0,24.99194762110061,6.564026,0
288.69367,122.107773,-3.328201,2.218801,113.0,23.171344956398823,5.892227,0
290.912472,118.779572,-3.328201,2.218801,109.0,21.446998709702225,5.220428,0
293.131273,115.45137,-3.328201,2.218801,105.0,19.844018884223736,4.54863,0
295.350075,112.123169,-3.328201,2.218801,101.0,18.394161875665496,3.876831,0
