ballX,ballY,vy,vx,paddleY,deltaY,action
162.270203,79.091827,-1.485563,3.713907,67.000000, 2.908173, 2
165.984116,77.606262,-1.485563,3.713907,67.000000, 4.393738, 0
169.698029,76.120697,-1.485563,3.713907,64.000000, 2.879303, 2
173.411942,74.635132,-1.485563,3.713907,64.000000, 4.364868, 0
177.125854,73.149567,-1.485563,3.713907,61.000000, 2.850433, 2
180.839767,71.664001,-1.485563,3.713907,61.000000, 4.335999, 0
184.553680,70.178436,-1.485563,3.713907,58.000000, 2.821564, 2
188.267593,68.692871,-1.485563,3.713907,58.000000, 4.307129, 0
191.981506,67.207306,-1.485563,3.713907,55.000000, 2.792694, 2
195.695419,65.721741,-1.485563,3.713907,55.000000, 4.278259, 0
199.409332,64.236176,-1.485563,3.713907,52.000000, 2.763824, 2
203.123245,62.750614,-1.485563,3.713907,52.000000, 4.249386, 0
206.837158,61.265053,-1.485563,3.713907,49.000000, 2.734947, 2
210.551071,59.779491,-1.485563,3.713907,49.000000, 4.220509, 0
214.264984,58.293930,-1.485563,3.713907,46.000000, 2.706070, 2
217.978897,56.808369,-1.485563,3.713907,46.000000, 4.191631, 0
221.692810,55.322807,-1.485563,3.713907,43.000000, 2.677193, 2
225.406723,53.837246,-1.485563,3.713907,43.000000, 4.162754, 0
229.120636,52.351685,-1.485563,3.713907,40.000000, 2.648315, 2
232.834549,50.866123,-1.485563,3.713907,40.000000, 4.133877, 0
236.548462,49.380562,-1.485563,3.713907,37.000000, 2.619438, 2
240.262375,47.895000,-1.485563,3.713907,37.000000, 4.105000, 0
243.976288,46.409439,-1.485563,3.713907,34.000000, 2.590561, 2
247.690201,44.923878,-1.485563,3.713907,34.000000, 4.076122, 0
251.404114,43.438316,-1.485563,3.713907,31.000000, 2.561684, 2
255.118027,41.952755,-1.485563,3.713907,31.000000, 4.047245, 0
258.831940,40.467194,-1.485563,3.713907,28.000000, 2.532806, 2
262.545837,38.981632,-1.485563,3.713907,28.000000, 4.018368, 0
266.259735,37.496071,-1.485563,3.713907,25.000000, 2.503929, 2
269.973633,36.010509,-1.485563,3.713907,25.000000, 3.989491, 0
273.687531,34.524948,-1.485563,3.713907,22.000000, 2.475052, 2
277.401428,33.039387,-1.485563,3.713907,22.000000, 3.960613, 0
281.115326,31.553823,-1.485563,3.713907,19.000000, 2.446177, 2
284.829224,30.068260,-1.485563,3.713907,19.000000, 3.931740, 0
288.543121,28.582697,-1.485563,3.713907,16.000000, 2.417303, 2
292.257019,27.097134,-1.485563,3.713907,16.000000, 3.902866, 0
295.970917,25.611570,-1.485563,3.713907,13.000000, 2.388430, 2
299.684814,24.126007,-1.485563,3.713907,13.000000, 3.873993, 0
163.749390,119.121048,1.107115,3.843735,103.000000, -1.121048, 2
167.593124,120.228165,1.107115,3.843735,103.000000, -2.228165, 2
171.436859,121.335281,1.107115,3.843735,103.000000, -3.335281, 1
175.280594,122.442398,1.107115,3.843735,106.000000, -1.442398, 2
179.124329,123.549515,1.107115,3.843735,106.000000, -2.549515, 2
182.968063,124.656631,1.107115,3.843735,106.000000, -3.656631, 1
186.811798,125.763748,1.107115,3.843735,109.000000, -1.763748, 2
190.655533,126.870865,1.107115,3.843735,109.000000, -2.870865, 2
194.499268,127.977982,1.107115,3.843735,109.000000, -3.977982, 1
198.343002,129.085098,1.107115,3.843735,112.000000, -2.085098, 2
202.186737,130.192215,1.107115,3.843735,112.000000, -3.192215, 1
206.030472,131.299332,1.107115,3.843735,115.000000, -1.299332, 2
209.874207,132.406448,1.107115,3.843735,115.000000, -2.406448, 2
213.717941,133.513565,1.107115,3.843735,115.000000, -3.513565, 1
217.561676,134.620682,1.107115,3.843735,118.000000, -1.620682, 2
221.405411,135.727798,1.107115,3.843735,118.000000, -2.727798, 2
225.249146,136.834915,1.107115,3.843735,118.000000, -3.834915, 1
229.092880,137.942032,1.107115,3.843735,121.000000, -1.942032, 2
232.936615,139.049149,1.107115,3.843735,121.000000, -3.049149, 1
236.780350,140.156265,1.107115,3.843735,124.000000, -1.156265, 2
240.624084,141.263382,1.107115,3.843735,124.000000, -2.263382, 2
244.467819,142.370499,1.107115,3.843735,124.000000, -3.370499, 1
248.311554,143.477615,1.107115,3.843735,127.000000, -1.477615, 2
252.155289,144.584732,1.107115,3.843735,127.000000, -2.584732, 2
255.999023,145.691849,1.107115,3.843735,127.000000, -3.691849, 1
259.842773,146.798965,1.107115,3.843735,130.000000, -1.798965, 2
263.686523,147.906082,1.107115,3.843735,130.000000, -2.906082, 2
267.530273,149.013199,1.107115,3.843735,130.000000, -4.013199, 1
271.374023,150.120316,1.107115,3.843735,133.000000, -2.120316, 2
275.217773,151.227432,1.107115,3.843735,133.000000, -3.227432, 1
279.061523,152.334549,1.107115,3.843735,136.000000, -1.334549, 2
282.905273,153.441666,1.107115,3.843735,136.000000, -2.441666, 2
286.749023,154.548782,1.107115,3.843735,136.000000, -3.548782, 1
290.592773,155.655899,1.107115,3.843735,139.000000, -1.655899, 2
294.436523,156.763016,1.107115,3.843735,139.000000, -2.763016, 2
298.280273,157.870132,1.107115,3.843735,139.000000, -3.870132, 1
160.425095,187.762650,2.762566,2.892789,169.000000, -3.762650, 1
163.317886,190.525223,2.762566,2.892789,170.000000, -5.525223, 1
166.210678,192.000000,-2.762566,2.892789,170.000000, -7.000000, 1
169.103470,189.237427,-2.762566,2.892789,170.000000, -4.237427, 1
171.996262,186.474854,-2.762566,2.892789,170.000000, -1.474854, 2
174.889053,183.712280,-2.762566,2.892789,170.000000, 1.287720, 2
177.781845,180.949707,-2.762566,2.892789,170.000000, 4.050293, 0
180.674637,178.187134,-2.762566,2.892789,167.000000, 3.812866, 0
183.567429,175.424561,-2.762566,2.892789,164.000000, 3.575439, 0
186.460220,172.661987,-2.762566,2.892789,161.000000, 3.338013, 0
189.353012,169.899414,-2.762566,2.892789,158.000000, 3.100586, 0
192.245804,167.136841,-2.762566,2.892789,155.000000, 2.863159, 2
195.138596,164.374268,-2.762566,2.892789,155.000000, 5.625732, 0
198.031387,161.611694,-2.762566,2.892789,152.000000, 5.388306, 0
200.924179,158.849121,-2.762566,2.892789,149.000000, 5.150879, 0
203.816971,156.086548,-2.762566,2.892789,146.000000, 4.913452, 0
206.709763,153.323975,-2.762566,2.892789,143.000000, 4.676025, 0
209.602554,150.561401,-2.762566,2.892789,140.000000, 4.438599, 0
212.495346,147.798828,-2.762566,2.892789,137.000000, 4.201172, 0
215.388138,145.036255,-2.762566,2.892789,134.000000, 3.963745, 0
218.280930,142.273682,-2.762566,2.892789,131.000000, 3.726318, 0
221.173721,139.511108,-2.762566,2.892789,128.000000, 3.488892, 0
224.066513,136.748535,-2.762566,2.892789,125.000000, 3.251465, 0
226.959305,133.985962,-2.762566,2.892789,122.000000, 3.014038, 0
229.852097,131.223389,-2.762566,2.892789,119.000000, 2.776611, 2
232.744888,128.460815,-2.762566,2.892789,119.000000, 5.539185, 0
235.637680,125.698250,-2.762566,2.892789,116.000000, 5.301750, 0
238.530472,122.935684,-2.762566,2.892789,113.000000, 5.064316, 0
241.423264,120.173119,-2.762566,2.892789,110.000000, 4.826881, 0
244.316055,117.410553,-2.762566,2.892789,107.000000, 4.589447, 0
247.208847,114.647987,-2.762566,2.892789,104.000000, 4.352013, 0
250.101639,111.885422,-2.762566,2.892789,101.000000, 4.114578, 0
252.994431,109.122856,-2.762566,2.892789,98.000000, 3.877144, 0
255.887222,106.360291,-2.762566,2.892789,95.000000, 3.639709, 0
258.779999,103.597725,-2.762566,2.892789,92.000000, 3.402275, 0
261.672791,100.835159,-2.762566,2.892789,89.000000, 3.164841, 0
264.565582,98.072594,-2.762566,2.892789,86.000000, 2.927406, 2
267.458374,95.310028,-2.762566,2.892789,86.000000, 5.689972, 0
270.351166,92.547462,-2.762566,2.892789,83.000000, 5.452538, 0
273.243958,89.784897,-2.762566,2.892789,80.000000, 5.215103, 0
276.136749,87.022331,-2.762566,2.892789,77.000000, 4.977669, 0
279.029541,84.259766,-2.762566,2.892789,74.000000, 4.740234, 0
281.922333,81.497200,-2.762566,2.892789,71.000000, 4.502800, 0
284.815125,78.734634,-2.762566,2.892789,68.000000, 4.265366, 0
287.707916,75.972069,-2.762566,2.892789,65.000000, 4.027931, 0
290.600708,73.209503,-2.762566,2.892789,62.000000, 3.790497, 0
293.493500,70.446938,-2.762566,2.892789,59.000000, 3.553062, 0
296.386292,67.684372,-2.762566,2.892789,56.000000, 3.315628, 0
299.279083,64.921806,-2.762566,2.892789,53.000000, 3.078194, 0
63.499374,31.407091,-1.804677,3.569753,20.000000, 3.592909, 0
167.069122,29.602413,-1.804677,3.569753,17.000000, 2.397587, 2
170.638870,27.797735,-1.804677,3.569753,17.000000, 4.202265, 0
174.208618,25.993057,-1.804677,3.569753,14.000000, 3.006943, 0
177.778366,24.188379,-1.804677,3.569753,11.000000, 1.811621, 2
181.348114,22.383701,-1.804677,3.569753,11.000000, 3.616299, 0
184.917862,20.579023,-1.804677,3.569753,8.000000, 2.420977, 2
188.487610,18.774345,-1.804677,3.569753,8.000000, 4.225655, 0
192.057358,16.969667,-1.804677,3.569753,5.000000, 3.030333, 0
