ballX,ballY,vy,vx,paddleY,distance,deltaY,action
156.000000,96.000000,4.000000,-4.000000,85.000000, 146.413803, 4.000000, 2
148.000000,104.000000,4.000000,-4.000000,85.000000, 139.301834, -4.000000, 2
136.000000,116.000000,4.000000,-4.000000,85.000000, 129.757462, -16.000000, 2
132.000000,120.000000,4.000000,-4.000000,85.000000, 126.921234, -20.000000, 2
116.000000,136.000000,4.000000,-4.000000,85.000000, 117.630775, -36.000000, 2
100.000000,152.000000,4.000000,-4.000000,85.000000, 112.200714, -52.000000, 1
96.000000,156.000000,4.000000,-4.000000,89.000000, 109.018349, -52.000000, 1
92.000000,160.000000,4.000000,-4.000000,93.000000, 105.891457, -52.000000, 1
88.000000,164.000000,4.000000,-4.000000,97.000000, 102.825096, -52.000000, 1
84.000000,168.000000,4.000000,-4.000000,101.000000, 99.824844, -52.000000, 1
80.000000,172.000000,4.000000,-4.000000,105.000000, 96.896851, -52.000000, 1
76.000000,176.000000,4.000000,-4.000000,109.000000, 94.047859, -52.000000, 1
72.000000,180.000000,4.000000,-4.000000,113.000000, 91.285271, -52.000000, 1
68.000000,184.000000,4.000000,-4.000000,117.000000, 88.617157, -52.000000, 1
64.000000,188.000000,4.000000,-4.000000,121.000000, 86.052307, -52.000000, 1
60.000000,192.000000,-4.000000,-4.000000,125.000000, 83.600243, -52.000000, 1
44.000000,176.000000,-4.000000,-4.000000,129.000000, 58.008621, -32.000000, 2
32.000000,164.000000,-4.000000,-4.000000,129.000000, 41.340054, -20.000000, 2
12.000000,144.000000,-4.000000,-4.000000,129.000000, 15.132746, 0.000000, 2
297.562378,133.343597,-3.328201,-2.218801,129.000000, 287.595184, 10.656403, 2
286.468323,116.702591,-3.328201,-2.218801,129.000000, 276.741699, 27.297409, 2
270.936646,93.405182,-3.328201,-2.218801,129.000000, 263.353241, 50.594818, 2
268.717834,90.076981,-3.328201,-2.218801,129.000000, 261.629364, 53.923019, 2
250.967392,63.451370,-3.328201,-2.218801,129.000000, 249.723663, 80.548630, 2
246.529800,56.794968,-3.328201,-2.218801,129.000000, 247.305298, 87.205032, 2
219.904251,16.856552,-3.328201,-2.218801,129.000000, 237.983093, 127.143448, 2
215.466660,10.200150,-3.328201,-2.218801,129.000000, 237.339325, 133.799850, 2
211.029068,3.543747,-3.328201,-2.218801,129.000000, 236.964035, 140.456253, 2
199.935089,9.984604,3.328201,-2.218801,129.000000, 224.142822, 134.015396, 2
197.716293,13.312805,3.328201,-2.218801,129.000000, 220.501556, 130.687195, 2
191.059906,23.297409,3.328201,-2.218801,129.000000, 209.656204, 120.702591, 2
182.184723,36.610214,3.328201,-2.218801,129.000000, 195.405853, 107.389786, 2
168.871948,56.579422,3.328201,-2.218801,129.000000, 174.599655, 87.420578, 2
166.653152,59.907623,3.328201,-2.218801,129.000000, 171.213226, 84.092377, 2
162.215561,66.564026,3.328201,-2.218801,129.000000, 164.523026, 77.435974, 2
155.559174,76.548630,3.328201,-2.218801,129.000000, 154.721100, 67.451370, 2
153.340378,79.876831,3.328201,-2.218801,129.000000, 151.524094, 64.123169, 2
133.371216,109.830643,3.328201,-2.218801,129.000000, 124.851593, 34.169357, 2
128.933624,116.487045,3.328201,-2.218801,129.000000, 119.590057, 27.512955, 2
88.995163,176.394669,3.328201,-2.218801,129.000000, 92.122147, -32.394669, 1
86.776360,179.722870,3.328201,-2.218801,133.000000, 89.875671, -31.722870, 1
84.557556,183.051071,3.328201,-2.218801,137.000000, 87.632927, -31.051071, 1
69.025932,178.687195,-3.328201,-2.218801,141.000000, 70.031319, -22.687195, 2
62.369526,168.702591,-3.328201,-2.218801,141.000000, 59.245258, -12.702591, 0
60.150726,165.374390,-3.328201,-2.218801,137.000000, 57.621189, -13.374390, 0
57.931927,162.046188,-3.328201,-2.218801,133.000000, 56.045967, -14.046188, 0
51.275528,152.061584,-3.328201,-2.218801,129.000000, 47.281136, -8.061584, 2
49.056728,148.733383,-3.328201,-2.218801,129.000000, 43.758823, -4.733383, 0
44.619129,142.076981,-3.328201,-2.218801,125.000000, 38.601910, -2.076981, 2
37.962730,132.092377,-3.328201,-2.218801,125.000000, 28.848156, 7.907623, 0
35.743931,128.764175,-3.328201,-2.218801,121.000000, 26.889261, 7.235825, 0
33.525131,125.435974,-3.328201,-2.218801,117.000000, 24.991949, 6.564026, 0
31.306330,122.107773,-3.328201,-2.218801,113.000000, 23.171345, 5.892227, 0
29.087528,118.779572,-3.328201,-2.218801,109.000000, 21.446999, 5.220428, 0
26.868727,115.451370,-3.328201,-2.218801,105.000000, 19.844019, 4.548630, 0
24.649925,112.123169,-3.328201,-2.218801,101.000000, 18.394161, 3.876831, 0
22.431124,108.794968,-3.328201,-2.218801,97.000000, 17.136339, 3.205032, 0
20.212322,105.466766,-3.328201,-2.218801,93.000000, 16.115576, 2.533234, 0
17.993521,102.138565,-3.328201,-2.218801,89.000000, 15.379150, 1.861435, 0
15.774720,98.810364,-3.328201,-2.218801,85.000000, 14.969087, 1.189636, 0
13.555920,95.482162,-3.328201,-2.218801,81.000000, 14.912331, 0.517838, 0
11.337119,92.153961,-3.328201,-2.218801,77.000000, 15.212837, -0.153961, 0
143.928772,85.498322,-2.625421,-3.017808,69.000000, 134.941147, -1.498322, 2
140.910965,82.872902,-2.625421,-3.017808,69.000000, 131.643982, 1.127098, 2
134.875351,77.622063,-2.625421,-3.017808,69.000000, 125.172653, 6.377937, 2
107.715088,53.993286,-2.625421,-3.017808,69.000000, 98.860710, 30.006714, 2
104.697281,51.367867,-2.625421,-3.017808,69.000000, 96.324799, 32.632133, 0
101.679474,48.742447,-2.625421,-3.017808,65.000000, 93.109795, 31.257553, 0
98.661667,46.117027,-2.625421,-3.017808,61.000000, 89.902138, 29.882973, 0
95.643860,43.491608,-2.625421,-3.017808,57.000000, 86.702637, 28.508392, 0
92.626053,40.866188,-2.625421,-3.017808,53.000000, 83.512238, 27.133812, 0
89.608246,38.240768,-2.625421,-3.017808,49.000000, 80.332024, 25.759232, 0
86.590439,35.615349,-2.625421,-3.017808,45.000000, 77.163246, 24.384651, 0
83.572632,32.989929,-2.625421,-3.017808,41.000000, 74.007385, 23.010071, 0
80.554825,30.364508,-2.625421,-3.017808,37.000000, 70.866165, 21.635492, 0
77.537018,27.739086,-2.625421,-3.017808,33.000000, 67.741608, 20.260914, 0
74.519211,25.113665,-2.625421,-3.017808,29.000000, 64.636154, 18.886335, 0
71.501404,22.488243,-2.625421,-3.017808,25.000000, 61.552673, 17.511757, 2
68.483597,19.862822,-2.625421,-3.017808,25.000000, 58.708786, 20.137178, 2
56.412369,9.361135,-2.625421,-3.017808,25.000000, 48.976341, 30.638865, 2
53.394562,6.735714,-2.625421,-3.017808,25.000000, 47.081547, 33.264286, 0
50.376755,4.110293,-2.625421,-3.017808,21.000000, 43.766933, 31.889706, 0
47.358948,1.484872,-2.625421,-3.017808,17.000000, 40.452568, 30.515127, 0
35.287720,7.876263,2.625421,-3.017808,13.000000, 25.801579, 20.123737, 2
32.269913,10.501684,2.625421,-3.017808,13.000000, 22.409609, 17.498316, 2
14.163070,26.254213,2.625421,-3.017808,13.000000, 13.892635, 1.745787, 2
107.790878,48.043015,-2.821000,-2.835834,13.000000, 103.880066, -20.043015, 2
68.089249,8.549012,-2.821000,-2.835834,13.000000, 58.259525, 19.450989, 2
